,pointA_latitude,pointA_longitude,pointB_latitude,pointB_longitude,path_segment_ID,sub_segment_length
7190,-35.30009410263607,149.1216415433538,-35.30015870384889,149.1216620257945,r3dp1mg441e0s0nhur3dp1mg1dt6rhutdb,7.41992410634394
7199,-35.18138770777085,149.13563572202327,-35.18188926256789,149.13551102282932,r3dpcemm81vzwr3tur3dpcem4tk2zyfgte,56.91018593525901
7200,-35.18188926256789,149.13551102282932,-35.18238621635656,149.1353904865598,r3dpcem4tk2zyfgter3dpcejpdrz56u8nj,56.33411070225444
7207,-35.18039744929096,149.13604946889728,-35.18057328796357,149.13604974179415,r3dpcete3fd6yemfwr3dpcetd3cf9vjyq4,19.552384032329645
7209,-35.18059631173928,149.13605340010952,-35.18072695223736,149.13600980247668,r3dpcetd1vt2s6zxsr3dpcet92vhvk1qet,15.057257342939865
7210,-35.18072695223736,149.13600980247668,-35.18075247311581,149.13599568103925,r3dpcet92vhvk1qetr3dpcet9286m538rb,3.1145159329096024
7211,-35.18075247311581,149.13599568103925,-35.18077304186038,149.1359768864537,r3dpcet9286m538rbr3dpcet90hs66g3tv,2.854592837073799
7218,-35.1808984834804,149.1357765209203,-35.180943079806845,149.13574947538504,r3dpcet27mnyjfhw7r3dpcet24ufu093fr,5.534645370771703
7219,-35.180943079806845,149.13574947538504,-35.18103913895932,149.1357224545967,r3dpcet24ufu093frr3dpcemrd4yx5bf6b,10.959957091807626
7220,-35.18103913895932,149.1357224545967,-35.18118667175688,149.13568508468634,r3dpcemrd4yx5bf6br3dpcemq9r6ybnsmz,16.752779040196437
7222,-35.181207287691024,149.13566420425076,-35.18122276629969,149.13564337074502,r3dpcemq8ge5vzm5rr3dpcemq82exsu9vf,2.558782761006392
7223,-35.18122276629969,149.13564337074502,-35.18125460950303,149.1356163601928,r3dpcemq82exsu9vfr3dpcemnrdz98q1zj,4.3085233030969246
7226,-35.18254442174067,149.13531690522066,-35.18256428016649,149.135331042323,r3dpcejnbf25xj30tr3dpcejn9ndv0qe93,2.5547370443339723
7227,-35.18256428016649,149.135331042323,-35.18257698133964,149.13533759370986,r3dpcejn9ndv0qe93r3dpcejn9hr9kwjce,1.5326813436760576
7228,-35.18257698133964,149.13533759370986,-35.182594013825074,149.13533915688836,r3dpcejn9hr9kwjcer3dpcejn930gcfz2m,1.899246667883779
7229,-35.182594013825074,149.13533915688836,-35.18320780349675,149.13518899376953,r3dpcejn930gcfz2mr3dpcehfvy8y6yn2u,69.60132927193092
7230,-35.18320780349675,149.13518899376953,-35.18322268495735,149.13517897195305,r3dpcehfvy8y6yn2ur3dpcehfvecmev64z,1.8888409245030897
7231,-35.18322268495735,149.13517897195305,-35.18323757274634,149.13516285741966,r3dpcehfvecmev64zr3dpcehfv1jkg76n2,2.210267838175614
7305,-35.20068012124274,149.09313919829256,-35.20064301948222,149.09316013255346,r3dp8xym1vwhp8pgmr3dp8xym6ktc76279,4.542911158726357
7306,-35.20064301948222,149.09316013255346,-35.200612857042074,149.09318173271765,r3dp8xym6ktc76279r3dp8xymdfjvnxvpf,3.8859514503301065
